"regional","regra"
12002,"(inc_3 > 16.7 & temp_min_1 > 23.6 & temp_max_3 > 32.2) | (inc_3 > 16.7 & temp_min_1 > 23.6 & temp_max_3 <= 32.2) | (inc_3 > 16.7 & temp_min_1 <= 23.6 & umid_min_2 > 63.4) | (inc_3 <= 16.7 & inc_3 > 0 & umid_min_1 > 57)"
12001,"(inc_3 > 32.1 & temp_max_1 > 32.3) | (inc_3 <= 32.1 & umid_min_3 > 87.9)"
12003,"(umid_min_3 > 87.9 & umid_min_3 <= 88.9) | (umid_min_3 > 87.9 & umid_min_3 > 88.9 & umid_min_1 <= 57.8) | (umid_min_3 <= 87.9 & inc_3 > 16.3)"
27010,"(inc_3 > 10.6) | (inc_3 <= 10.6 & inc_3 > 0)"
27005,"(inc_3 > 5.7 & umid_max_1 > 96) | (inc_3 > 5.7 & umid_max_1 <= 96)"
27007,"(inc_3 > 23.6) | (inc_3 <= 23.6 & inc_3 > 0 & temp_min_1 > 23.7)"
27001,"(inc_3 > 0 & temp_max_1 > 29 & umid_max_3 > 91) | (inc_3 > 0 & temp_max_1 > 29 & umid_max_3 <= 91)"
27008,"(inc_3 > 0 & umid_max_3 > 85.9)"
27003,"(inc_3 > 43.1) | (inc_3 <= 43.1 & inc_3 > 1.5 & temp_max_1 > 30)"
27009,"(inc_3 > 52.5) | (inc_3 <= 52.5 & inc_3 > 8.6)"
27006,"(inc_3 > 1.7)"
27002,"(inc_3 > 11.9 & temp_min_1 > 24.4) | (inc_3 > 11.9 & temp_min_1 <= 24.4)"
13008,"(inc_3 > 0)"
13009,"(inc_3 > 2.5)"
13002,"(inc_3 > 7.5)"
13003,"(inc_3 > 12)"
13001,"(inc_3 > 0.1)"
13006,"(inc_3 > 25.3) | (inc_3 <= 25.3 & inc_3 > 6.4)"
13007,"(inc_3 > 11.2 & temp_max_1 <= 30.1) | (inc_3 <= 11.2 & umid_min_2 > 88.8)"
16001,"(temp_min_1 > 23.7 & umid_max_3 <= 69.6) | (temp_min_1 <= 23.7)"
16002,"(inc_3 > 0)"
16003,"(inc_3 > 30.9)"
29023,"(inc_3 > 34.8 & temp_max_3 <= 21.2) | (inc_3 > 34.8 & temp_max_3 > 21.2) | (inc_3 <= 34.8 & inc_3 > 2.3)"
29017,"(inc_3 > 46.4) | (inc_3 <= 46.4 & inc_3 > 0 & umid_max_1 > 93.1) | (inc_3 <= 46.4 & inc_3 > 0 & umid_max_1 <= 93.1)"
29019,"(inc_3 > 7.7)"
29025,"(inc_3 <= 7.2 & inc_3 > 0 & temp_min_1 > 26.3) | (inc_3 > 7.2 & temp_min_1 > 24.5 & umid_min_3 > 61.1) | (inc_3 > 7.2 & temp_min_1 > 24.5 & umid_min_3 <= 61.1)"
29003,"(inc_3 > 44.6) | (inc_3 <= 44.6 & inc_3 > 0 & temp_min_3 > 19.6)"
29015,"(inc_3 > 16.3 & temp_max_3 > 34) | (inc_3 > 16.3 & temp_max_3 <= 34 & temp_max_3 > 29.8) | (inc_3 <= 16.3 & inc_3 > 0 & temp_max_3 > 31.7) | (inc_3 > 16.3 & temp_max_3 <= 34 & temp_max_3 <= 29.8)"
29026,"(inc_3 > 39.6) | (inc_3 <= 39.6 & inc_3 > 2.4 & temp_min_1 > 26.4)"
29012,"(inc_3 > 18.6 & temp_max_1 > 29.9) | (inc_3 > 18.6 & temp_max_1 <= 29.9 & temp_max_2 > 28.7) | (inc_3 <= 18.6 & inc_3 > 0 & temp_max_1 > 29.9)"
29006,"(temp_max_2 > 29.3 & umid_max_1 <= 87.6)"
29010,"(inc_3 <= 7.6 & umid_max_1 > 94.8 & temp_max_1 > 31.3) | (inc_3 > 7.6 & temp_max_3 > 31.3) | (inc_3 > 7.6 & temp_max_3 <= 31.3 & umid_max_2 > 81)"
29028,"(inc_3 > 0.3 & temp_min_1 > 27.5) | (inc_3 > 0.3 & temp_min_1 <= 27.5)"
29011,"(inc_3 > 21.7) | (inc_3 <= 21.7 & inc_3 > 0)"
29024,"(inc_3 > 10)"
29002,"(inc_3 > 22.2 & umid_min_3 > 52) | (inc_3 <= 22.2 & inc_3 > 3.2 & umid_min_1 > 68.1)"
29009,"(inc_3 > 16.3 & temp_max_2 > 30.3) | (inc_3 > 16.3 & temp_max_2 <= 30.3 & temp_max_1 > 28.1)"
29008,"(inc_3 > 11.1)"
29018,"(temp_min_1 > 27.4 & umid_max_3 > 93.5) | (temp_min_1 > 27.4 & umid_max_3 <= 93.5 & umid_max_2 > 93.5) | (temp_min_1 <= 27.4 & temp_min_3 <= 26.2 & inc_3 > 46.3)"
29021,"(inc_3 > 5)"
29013,"(temp_min_1 > 26.4 & umid_min_3 > 81.9 & temp_min_1 > 27.6) | (temp_min_1 <= 26.4 & inc_3 > 5.3 & temp_min_3 > 27.8) | (temp_min_1 > 26.4 & umid_min_3 <= 81.9 & umid_min_2 > 79.9) | (temp_min_1 > 26.4 & umid_min_3 > 81.9 & temp_min_1 <= 27.6)"
29007,"(inc_3 > 8.1)"
29014,"(inc_3 > 17.1 & temp_min_2 <= 25.2 & umid_min_3 > 73.8) | (inc_3 > 17.1 & temp_min_2 > 25.2)"
29004,"(inc_3 <= 3.8 & inc_3 > 0 & temp_min_1 > 25.6) | (inc_3 > 3.8)"
29016,"(inc_3 > 12.2 & temp_max_1 > 35.4) | (inc_3 > 12.2 & temp_max_1 <= 35.4) | (inc_3 <= 12.2 & inc_3 <= 2.4 & temp_min_2 > 28.7)"
29020,"(temp_max_1 > 28.8 & inc_3 > 0)"
23019,"(umid_max_1 > 96.6 & temp_min_2 <= 23.4) | (umid_max_1 <= 96.6 & umid_max_1 > 82.6 & temp_max_3 > 33.9)"
23003,"(inc_3 > 7.6 & temp_min_3 <= 27.9 & umid_min_2 > 71.5) | (inc_3 > 7.6 & temp_min_3 > 27.9 & umid_max_3 > 73.9) | (inc_3 <= 7.6 & inc_3 > 0 & umid_min_1 > 69.6) | (inc_3 > 7.6 & temp_min_3 > 27.9 & umid_max_3 <= 73.9) | (inc_3 > 7.6 & temp_min_3 <= 27.9 & umid_min_2 <= 71.5)"
23012,"(inc_3 > 9.2)"
23018,"(inc_3 <= 22.3 & inc_3 > 1 & umid_min_1 > 70.2) | (inc_3 > 22.3)"
23014,"(umid_max_3 <= 93.3 & temp_max_2 > 38.7) | (umid_max_3 <= 93.3 & temp_max_2 <= 38.7 & inc_3 > 15.2) | (umid_max_3 > 93.3)"
23011,"(inc_3 > 10.8 & umid_min_1 > 43.9 & umid_max_1 > 90.9) | (inc_3 <= 10.8 & inc_3 > 0 & umid_min_1 > 65.2) | (inc_3 > 10.8 & umid_min_1 <= 43.9 & umid_min_2 > 33.6)"
23020,"(inc_3 > 15.5 & umid_max_1 > 96.6) | (inc_3 > 15.5 & umid_max_1 <= 96.6 & temp_min_1 > 28) | (inc_3 <= 15.5 & inc_3 > 0 & umid_max_2 > 95.1) | (inc_3 > 15.5 & umid_max_1 <= 96.6 & temp_min_1 <= 28)"
23010,"(inc_3 > 26.7 & umid_max_1 > 88) | (inc_3 > 26.7 & umid_max_1 <= 88)"
23006,"(inc_3 > 0 & umid_max_2 > 82.7 & temp_min_2 > 26.1)"
23002,"(inc_3 > 7.7 & temp_min_1 > 27.7 & umid_max_1 > 78.7) | (inc_3 > 7.7 & temp_min_1 > 27.7 & umid_max_1 <= 78.7) | (inc_3 > 7.7 & temp_min_1 <= 27.7 & umid_max_1 > 84.6)"
23001,"(temp_min_2 > 26.2 & umid_max_3 > 71.9 & inc_3 > 5.6)"
23007,"(inc_3 > 17.3)"
23004,"(inc_3 > 183.6) | (inc_3 <= 183.6 & umid_max_1 > 92.6)"
23015,"(inc_3 > 9.1 & umid_min_2 <= 61.7 & temp_max_3 <= 24.9) | (inc_3 > 9.1 & umid_min_2 > 61.7) | (inc_3 > 9.1 & umid_min_2 <= 61.7 & temp_max_3 > 24.9)"
23017,"(inc_3 > 27.9)"
23008,"(umid_max_3 > 78.2 & inc_3 > 1.1 & umid_min_1 > 54.7) | (umid_max_3 <= 78.2 & inc_3 > 39.3)"
23021,"(umid_max_2 <= 93.4 & inc_3 > 3.7 & temp_max_3 > 33.1) | (umid_max_2 > 93.4)"
23016,"(inc_3 > 3.1 & umid_min_1 > 80) | (inc_3 > 3.1 & umid_min_1 <= 80)"
23022,"(umid_max_1 > 80.3 & inc_3 > 5.6 & umid_min_1 > 66) | (umid_max_1 > 80.3 & inc_3 > 5.6 & umid_min_1 <= 66)"
23005,"(inc_3 > 1.8 & umid_max_1 > 88.9) | (inc_3 > 1.8 & umid_max_1 <= 88.9)"
23013,"(inc_3 > 15.9)"
23009,"(umid_max_3 > 99.1) | (umid_max_3 <= 99.1 & inc_3 > 11.3 & umid_max_2 > 81.2)"
53001,"(umid_max_3 > 88.9 & inc_3 > 4.3 & temp_min_1 > 16.9)"
32002,"(inc_3 > 9.2 & temp_min_1 > 23.9 & temp_max_1 > 30.1) | (inc_3 > 9.2 & temp_min_1 <= 23.9 & temp_min_2 > 21.2) | (inc_3 > 9.2 & temp_min_1 > 23.9 & temp_max_1 <= 30.1) | (inc_3 <= 9.2 & inc_3 > 0 & temp_min_3 > 22.3) | (temp_max_3 > 29.4 & inc_3 > 8.8 & temp_min_3 > 23)"
32001,"(inc_3 > 24.2) | (inc_3 <= 24.2 & inc_3 > 7.7 & temp_min_3 > 21.8) | (inc_3 > 0 & temp_min_1 > 19.3 & temp_max_2 > 27.6) | (inc_3 <= 0 & temp_min_3 > 20.9 & umid_min_1 <= 31.4) | (umid_min_3 > 79 & temp_max_1 <= 30.2) | (umid_min_3 <= 79 & inc_3 > 34.6)"
32003,"(inc_3 > 0 & temp_min_1 > 22) | (temp_min_3 > 21.2 & inc_3 > 5)"
32004,"(inc_3 > 18 & temp_min_1 > 23.9 & umid_min_2 <= 66) | (inc_3 > 18 & temp_min_1 <= 23.9 & temp_min_2 > 21.3) | (inc_3 <= 18 & inc_3 > 3.4 & temp_min_3 > 24.6) | (inc_3 > 18 & temp_min_1 > 23.9 & umid_min_2 > 66) | (inc_3 > 55.8 & temp_min_1 > 19.9) | (inc_3 <= 55.8 & temp_min_3 > 19.9 & inc_3 > 5.8)"
52001,"(inc_3 > 25.8 & temp_min_1 <= 18.4 & temp_min_2 > 20.3) | (inc_3 > 25.8 & temp_min_1 > 18.4 & temp_max_2 > 28.6) | (inc_3 > 25.8 & temp_min_1 > 18.4 & temp_max_2 <= 28.6) | (inc_3 <= 25.8 & inc_3 > 0 & temp_min_1 > 19.9)"
52011,"(temp_min_3 > 19.9 & inc_3 > 0 & umid_max_1 > 74.2)"
52015,"(inc_3 > 87.6 & umid_min_3 > 45.1) | (inc_3 <= 87.6 & inc_3 > 3.4 & temp_min_1 > 19.2)"
52010,"(inc_3 > 17.8 & temp_min_2 > 17.1)"
52003,"(umid_max_3 > 93.1 & inc_3 > 12.2 & temp_min_1 > 17.6) | (umid_max_3 > 93.1 & inc_3 <= 12.2 & inc_3 > 4.1)"
52017,"(umid_max_1 > 96.1)"
52004,"(inc_3 > 7.6 & temp_min_3 > 18.6) | (inc_3 > 7.6 & temp_min_3 <= 18.6)"
52014,"(inc_3 > 45.6)"
52007,"(inc_3 > 35.6 & temp_max_1 > 29.3 & umid_max_3 > 86) | (inc_3 > 35.6 & temp_max_1 <= 29.3 & umid_max_1 > 89.6) | (inc_3 <= 35.6 & inc_3 > 2.7 & temp_min_1 > 17.6)"
52012,"(inc_3 > 0 & temp_min_1 > 19.9 & temp_max_2 > 27.1) | (inc_3 > 0 & temp_min_1 <= 19.9 & temp_min_1 > 18) | (inc_3 <= 23.3 & inc_3 > 4.5 & temp_max_3 > 33.9) | (inc_3 > 23.3 & temp_min_1 <= 19.7 & umid_max_1 > 98) | (inc_3 > 23.3 & temp_min_1 > 19.7)"
52005,"(inc_3 > 50.9 & umid_max_1 > 83.6 & temp_min_1 > 19.9)"
52002,"(temp_min_3 > 17.8 & inc_3 > 32.4) | (temp_min_3 > 17.8 & inc_3 <= 32.4 & inc_3 > 1.4)"
52016,"(inc_3 > 20.9)"
52018,"(inc_3 <= 57.9 & temp_min_3 > 20.9 & umid_min_1 <= 35.9) | (inc_3 > 57.9)"
52006,"(inc_3 > 2 & temp_max_2 <= 30.9) | (inc_3 > 2 & temp_max_2 > 30.9)"
52013,"(inc_3 > 0.8 & umid_min_2 > 59.1)"
21005,"(umid_max_3 > 90.2 & temp_max_3 > 25.9 & inc_3 > 21.5) | (umid_max_3 <= 90.2 & temp_min_3 <= 20.2 & inc_3 > 294.2) | (umid_max_3 <= 90.2 & temp_min_3 > 20.2 & umid_max_3 > 84.4)"
21016,"(temp_min_1 > 20.3 & inc_3 > 38.9 & temp_max_2 > 29.1) | (temp_min_1 > 20.3 & inc_3 > 38.9 & temp_max_2 <= 29.1) | (temp_min_1 > 20.3 & inc_3 <= 38.9 & inc_3 > 4) | (temp_min_1 <= 20.3 & temp_max_3 > 26.6 & umid_max_1 > 97)"
31074,"(inc_3 > 52.6 & temp_max_1 > 28.9) | (inc_3 > 52.6 & temp_max_1 <= 28.9 & temp_max_1 > 25.7) | (inc_3 <= 52.6 & inc_3 > 5.1 & temp_max_2 > 28.7) | (inc_3 <= 52.6 & inc_3 > 5.1 & temp_max_2 <= 28.7) | (inc_3 > 52.6 & temp_max_1 <= 28.9 & temp_max_1 <= 25.7)"
31024,"(temp_max_3 <= 26.3 & inc_3 <= 1.1 & temp_min_1 > 23.3) | (temp_max_3 > 26.3)"
31059,"(inc_3 > 19.8)"
31037,"(inc_3 > 0 & temp_min_1 <= 18.6 & inc_3 > 501.5) | (inc_3 > 0 & temp_min_1 > 18.6)"
31081,"(inc_3 > 1.8)"
31072,"(inc_3 > 31.8) | (inc_3 <= 31.8 & temp_max_1 > 31)"
31089,"(inc_3 <= 59.9 & inc_3 > 4 & temp_min_1 > 22.5) | (inc_3 > 59.9) | (inc_3 <= 59.9 & inc_3 <= 4 & temp_min_2 > 23)"
31068,"(inc_3 > 2.8 & temp_max_1 > 28.9) | (inc_3 > 2.8 & temp_max_1 <= 28.9)"
31040,"(inc_3 > 52.7 & temp_max_1 > 26.4) | (inc_3 <= 52.7 & inc_3 > 6.9)"
31041,"(inc_3 > 0 & temp_min_3 > 16)"
31001,"(inc_3 > 40.1 & temp_max_3 > 25.7)"
31036,"(inc_3 > 25.5 & temp_min_1 > 17) | (inc_3 <= 25.5 & inc_3 > 0 & temp_min_3 > 18.3)"
31092,"(temp_min_3 > 15.3 & umid_max_3 <= 93.1 & inc_3 > 1.1) | (temp_min_3 > 15.3 & umid_max_3 > 93.1 & temp_max_3 > 23.7)"
31099,"(inc_3 > 6.6) | (inc_3 <= 6.6 & inc_3 > 1.8)"
31035,"(inc_3 <= 21.8 & temp_min_3 > 21.9 & temp_min_3 > 23) | (inc_3 > 21.8 & temp_min_1 > 17.1) | (inc_3 <= 21.8 & temp_min_3 > 21.9 & temp_min_3 <= 23)"
31045,"(umid_max_1 > 91.7 & temp_max_2 > 27)"
31064,"(inc_3 > 25.2 & temp_min_1 > 17)"
31075,"(inc_3 > 0.8 & temp_min_1 <= 16.6 & temp_min_2 > 17.9) | (inc_3 > 0.8 & temp_min_1 > 16.6)"
31082,"(inc_3 > 61.5 & temp_min_1 > 18.5) | (inc_3 <= 61.5 & inc_3 > 8.4 & temp_min_3 > 19) | (inc_3 > 61.5 & temp_min_1 <= 18.5)"
31086,"(inc_3 > 22.8 & temp_min_3 > 17.5) | (inc_3 <= 22.8 & temp_max_3 > 31.8)"
31070,"(temp_max_3 > 26.6 & inc_3 > 7.4) | (temp_max_3 <= 26.6 & inc_3 > 190) | (temp_max_3 <= 26.6 & inc_3 <= 190 & temp_min_2 > 20.9) | (temp_max_3 > 26.6 & inc_3 <= 7.4 & temp_max_1 > 31.6)"
31002,"(temp_max_1 > 26.2 & inc_3 > 5.7)"
31087,"(inc_3 > 6.5 & temp_max_1 > 29.9) | (inc_3 > 6.5 & temp_max_1 <= 29.9 & temp_max_2 > 28.2) | (inc_3 <= 6.5 & umid_max_3 > 98)"
31044,"(inc_3 > 72.8 & temp_min_1 > 17.4) | (inc_3 > 72.8 & temp_min_1 <= 17.4 & temp_min_2 > 17.1) | (inc_3 <= 72.8 & inc_3 > 8 & temp_min_1 > 17.9)"
31027,"(inc_3 > 13.2 & temp_min_1 <= 19.8 & temp_min_3 > 21.6) | (inc_3 > 13.2 & temp_min_1 > 19.8)"
31058,"(temp_max_1 > 27.5 & temp_min_3 <= 19.5 & inc_3 > 26.1) | (temp_max_1 > 27.5 & temp_min_3 > 19.5)"
31019,"(inc_3 > 9.9 & temp_min_2 > 20.3) | (inc_3 <= 9.9 & inc_3 > 0)"
31030,"(inc_3 > 11.5 & temp_max_2 > 27.3)"
31021,"(inc_3 > 0.3 & temp_min_1 > 16.3)"
31023,"(temp_min_3 > 19.6 & inc_3 > 1.5 & temp_max_2 > 28.1) | (temp_min_3 > 19.6 & inc_3 > 1.5 & temp_max_2 <= 28.1)"
31097,"(inc_3 > 29.5 & temp_max_2 > 27.3) | (inc_3 > 29.5 & temp_max_2 <= 27.3 & umid_max_2 > 88.9) | (inc_3 <= 29.5 & inc_3 > 0 & temp_max_1 > 28.3)"
31016,"(inc_3 > 9.9 & umid_min_2 > 73.4) | (inc_3 > 9.9 & umid_min_2 <= 73.4)"
31017,"(inc_3 > 40.1)"
31011,"(inc_3 > 31.4 & temp_min_1 > 16.9) | (inc_3 <= 31.4 & inc_3 > 7.4 & temp_min_1 > 16.7)"
31083,"(inc_3 > 32.8)"
31028,"(inc_3 > 20.5)"
31053,"(inc_3 > 132 & umid_max_3 > 87.3) | (inc_3 <= 132 & inc_3 > 33.5 & temp_min_2 > 19.1) | (inc_3 > 132 & umid_max_3 <= 87.3)"
31051,"(inc_3 > 15.5)"
31077,"(inc_3 > 2.3 & temp_min_1 > 16.9) | (inc_3 > 2.3 & temp_min_1 <= 16.9 & temp_min_3 > 16.3)"
31049,"(inc_3 > 15.9)"
31048,"(umid_max_3 > 83.9 & temp_max_1 > 26.9 & umid_min_1 > 36.3) | (umid_max_3 <= 83.9 & temp_max_2 > 28.6 & umid_min_1 > 47.3)"
31055,"(inc_3 > 8.2 & temp_min_1 > 17.8) | (inc_3 > 8.2 & temp_min_1 <= 17.8)"
31073,"(inc_3 > 80.4)"
31010,"(inc_3 > 82.4 & temp_max_2 > 28) | (inc_3 > 82.4 & temp_max_2 <= 28) | (inc_3 <= 82.4 & inc_3 > 14.5)"
31096,"(inc_3 > 49.1 & temp_min_1 > 17.8) | (inc_3 <= 49.1 & inc_3 > 23.1)"
31091,"(inc_3 > 11.5)"
31093,"(inc_3 > 56.2 & temp_max_1 > 29.1) | (inc_3 <= 56.2 & inc_3 > 10.2 & temp_max_2 > 28.5) | (inc_3 > 56.2 & temp_max_1 <= 29.1)"
31066,"(inc_3 > 260.3 & temp_max_1 > 27.6) | (inc_3 > 260.3 & temp_max_1 <= 27.6 & temp_max_2 > 27.3) | (inc_3 <= 260.3 & inc_3 > 23.3 & temp_min_1 > 18.6)"
31088,"(inc_3 > 75.4 & temp_min_1 > 15.7) | (inc_3 <= 75.4 & inc_3 > 4.8)"
31071,"(inc_3 <= 32.8 & inc_3 > 2.6 & temp_min_3 > 26.6) | (inc_3 > 32.8)"
31004,"(inc_3 > 63.9) | (inc_3 <= 63.9 & inc_3 > 3.6)"
31052,"(inc_3 > 0.2 & umid_max_3 > 86.8) | (inc_3 > 0.2 & umid_max_3 <= 86.8)"
31038,"(inc_3 > 28.5)"
31084,"(inc_3 > 1.1 & temp_min_2 > 16.9) | (inc_3 > 1.1 & temp_min_2 <= 16.9 & temp_min_3 > 17.3)"
31065,"(inc_3 > 33.5 & temp_max_1 > 27.3) | (inc_3 > 33.5 & temp_max_1 <= 27.3 & temp_max_3 > 28) | (inc_3 <= 33.5 & inc_3 > 6.9 & temp_max_2 > 27.1)"
31032,"(temp_min_3 > 19.9 & inc_3 > 3 & temp_max_1 > 28) | (temp_min_3 > 19.9 & inc_3 > 3 & temp_max_1 <= 28)"
31025,"(inc_3 > 7.5)"
31018,"(inc_3 > 2.9 & temp_min_1 > 16.9)"
31050,"(inc_3 > 70 & temp_min_3 > 17.7) | (inc_3 <= 70 & inc_3 > 0.7 & temp_min_1 > 18.1) | (inc_3 > 70 & temp_min_3 <= 17.7)"
31012,"(inc_3 > 7.2)"
31057,"(inc_3 > 7.6 & temp_max_3 > 30.6) | (inc_3 > 7.6 & temp_max_3 <= 30.6)"
31098,"(inc_3 > 35.5 & temp_max_3 > 26.3) | (inc_3 <= 35.5 & inc_3 > 7.4) | (inc_3 > 35.5 & temp_max_3 <= 26.3)"
31022,"(inc_3 > 29.5 & temp_min_1 > 19) | (inc_3 > 29.5 & temp_min_1 <= 19)"
31031,"(inc_3 > 76.8)"
31009,"(temp_min_1 > 22.8 & umid_max_1 > 76.6) | (temp_min_1 <= 22.8 & inc_3 > 13.8 & temp_min_1 > 20.3) | (temp_min_1 > 22.8 & umid_max_1 <= 76.6 & umid_max_3 > 65.7)"
31076,"(inc_3 > 10.2 & temp_min_1 > 19.9 & umid_max_3 > 76.5) | (inc_3 > 10.2 & temp_min_1 <= 19.9 & temp_min_2 > 20.6)"
50004,"(inc_3 > 22.9 & temp_min_1 > 18.8 & umid_max_3 > 78.5) | (inc_3 > 22.9 & temp_min_1 <= 18.8 & temp_min_3 > 21.7) | (inc_3 <= 22.9 & inc_3 > 3.5 & temp_min_3 > 20.3)"
50001,"(temp_min_2 > 23.6 & inc_3 > 32.1)"
50003,"(temp_min_3 > 21.9 & umid_min_3 > 44.5)"
50002,"(inc_3 > 42)"
51002,"(inc_3 > 21.2 & umid_min_1 > 51.8 & umid_max_3 <= 84.9) | (inc_3 > 21.2 & umid_min_1 > 51.8 & umid_max_3 > 84.9) | (inc_3 <= 21.2 & inc_3 > 0 & umid_min_1 > 53.1)"
51006,"(temp_min_3 > 24 & inc_3 > 5.9)"
51001,"(inc_3 > 31.6) | (temp_max_3 <= 25.1 & inc_3 > 1.7) | (temp_max_3 <= 25.1 & inc_3 <= 1.7) | (temp_max_3 > 25.1 & temp_min_1 > 23.1 & inc_3 > 23.9) | (temp_max_3 > 25.1 & temp_min_1 <= 23.1)"
51013,"(umid_min_1 > 44.6)"
51004,"(temp_min_1 > 22.9)"
51005,"(inc_3 > 11.2)"
51011,"(inc_3 > 104.6) | (inc_3 <= 104.6 & umid_min_1 > 47.4 & inc_3 > 11.4)"
51007,"(umid_max_1 > 97.4)"
51008,"(umid_max_3 <= 96.4 & inc_3 > 0) | (umid_max_3 <= 96.4 & inc_3 <= 0 & umid_min_2 > 65.6) | (umid_max_3 > 96.4)"
51012,"(umid_min_2 > 62.9 & inc_3 > 10.7 & temp_max_3 <= 28.9) | (umid_min_2 > 62.9 & inc_3 <= 10.7 & temp_min_2 > 26) | (umid_min_2 > 62.9 & inc_3 > 10.7 & temp_max_3 > 28.9) | (umid_min_2 <= 62.9 & umid_min_1 > 52.3 & inc_3 > 29)"
51003,"(inc_3 <= 68 & umid_min_1 > 69 & temp_min_2 > 26.2) | (inc_3 > 68 & umid_min_2 > 65.5) | (inc_3 > 68 & umid_min_2 <= 65.5)"
51014,"(inc_3 > 17)"
51010,"(inc_3 > 243.9)"
51015,"(temp_max_2 <= 27.6 & temp_min_1 <= 22.4 & inc_3 > 8.4) | (temp_max_2 > 27.6 & inc_3 > 0.4 & umid_min_1 > 58.7)"
51016,"(umid_max_1 > 88.2 & inc_3 > 2.5)"
15003,"(inc_3 > 6.3)"
15001,"(inc_3 > 11)"
15002,"(temp_min_1 <= 22.7) | (temp_max_1 > 28.5 & inc_3 > 3.8 & temp_max_2 > 28)"
15012,"(inc_3 > 14.8)"
15006,"(inc_3 > 1.3)"
15010,"(umid_max_3 > 94.2) | (umid_max_3 <= 94.2 & inc_3 > 19.4)"
15004,"(inc_3 > 33.5 & temp_min_1 > 22.9) | (inc_3 <= 33.5 & inc_3 > 7 & temp_max_3 > 30.4)"
25011,"(inc_3 <= 30.2 & inc_3 > 10.1 & temp_min_1 > 25.6) | (inc_3 > 30.2)"
25003,"(inc_3 > 20.5) | (inc_3 <= 20.5 & inc_3 > 2.3)"
25002,"(inc_3 <= 1 & inc_3 > 0.1 & inc_3 <= 0.5) | (inc_3 > 1 & temp_min_3 <= 22.9 & umid_max_2 > 99.3) | (inc_3 > 1 & temp_min_3 > 22.9)"
25015,"(umid_max_3 > 83.8 & inc_3 > 0 & temp_min_1 > 26.4) | (umid_max_3 > 83.8 & inc_3 <= 0 & umid_min_1 > 80.3) | (umid_max_3 > 83.8 & inc_3 > 0 & temp_min_1 <= 26.4)"
